	fluxes
6DEOXOCATHASTERONEH_c	0.0
HBZOPT_c	0.0
ARGSL2_c	0.0
PERD_c	0.0
ATS_x	0.0
FPQOR_plty	25.627490626325205
CHLSTOLOX_c	0.0
OAAACON_Ct2_cm	-1.280332404383007
HPPK_m	0.0
OL6BGLC31GALGT_c	0.0
PTPAT_c	0.0
EX_pydxn_eb	0.0
KAEMPFEROL3OGALIDET_c	0.0
PYDAMK_c	0.0
NDPK4_m	0.0
ACTINORHODINS_c	0.0
ME2_c	0.0
MPMECY2_pl	0.04068141001090492
CPPPGO_pl	0.04068141001090491
ALLTNt_c	0.0
ABTA_m	0.0
I3AGT_c	0.0
VALt_cm	0.0
ATPS4_mim	0.0
PINORESINOLS_c	0.0
GDPMNH_c	0.0
NH4t_cm	9.554591572433434
GLYD_pl	0.0
R02832_c	0.0
PELARGONIDIN3OGIDERT_c	0.0
GA12OX_c	0.0
CONFRLGT_c	0.0
SARCOX_c	0.0
GIBBA9OX_c	0.0
3HAD120_pl	0.0
BPNT_c	0.0
AOOR_c	0.0
MACACI_c	0.0
IVCOADH_c	0.0
MALOAAt_cpl	4.841494476609724
1MPYRS_c	0.0
BSMT_c	0.0
MALGLUt_cpl	0.0
R05036_c	0.0
CINNALDO_c	0.0
EX_4abut_eb	0.0
HACYLCOAEPI40_c	0.0
PACALDS_c	0.0
AMITKP_c	0.0
ARG2MO_c	0.0
PEPCK_c	-5.736204834255246
TRDR_m	0.0
PRFGS_pl	0.5857978223708299
HGO_c	0.0
GLUTRS_m	0.0
ATP2t_cm	0.0
SERPT_c	0.0
3H3PPPCOAH_c	0.09984778709562299
ORNt_ec	0.0
GGDPR1_pl	0.007856447512548378
HC02110MO_c	0.0
SO4t_ec	0.38050728849386867
MGDG1819Z1619ZDS2_c	0.0
3HBCS_x	0.0
DELPHINIDIN35DGLCHCT_c	0.0
DHAK_c	0.0
SINK_ser_L_c	0.0
24MENECHSTEROLR_c	0.0
M00967MO_c	0.0
GTHO_pl	0.11898652183465291
GHMT_c	-0.9396980911921021
TMDS_c	0.05328532405799291
LINASE_c	0.0
CAROMO_c	0.0
PTRCOX1_c	0.0
ACONSUCCt2_mc	0.0
CELL2_c	0.0
MGDG1819Z1619ZDS_c	0.0
ASPGLUt_cm	0.0
FERULCOAS_c	0.0
NO3t_cv	0.0
LGTHL_c	0.0
EX_SUCR_eb	3.994983137916299
TD35TEH_c	0.0
DHNAOT4_c	0.0
ATPADPPIt_cpl	0.0
MECDPS_pl	0.16272564004361964
